name,year,total_taxes,property_taxes,sales_and_gross_receipts_taxes,general_sales_and_gross_receipts_taxes,selective_sales_and_gross_receipts_taxes,alcoholic_beverages_sales_tax,amusements_sales_tax,insurance_premiums_sales_tax,motor_fuels_sales_tax,pari_mutuels_sales_tax,public_utilities_sales_tax,tobacco_products_sales_tax,other_selective_sales_and_gross_receipts_taxes,license_taxes,alcoholic_beverages_license,amusements_license,corporations_in_general_license,hunting_and_fishing_license,motor_vehicle_license,motor_vehicle_operators_license,public_utilities_license,occupation_and_business_license_nec,other_license_taxes,income_taxes,individual_income_taxes,corporations_net_income_taxes,other_taxes,death_and_gift_taxes,documentarty_and_stock_transfer_taxes,severance_taxes,taxes_nec
new-hampshire,2020,2858212,408937,973219,0,973219,13176,413,134100,170001,314,42245,209201,403769,420669,17828,319,75975,14362,85310,7836,24138,192402,2499,903303,122631,780672,152084,0,152084,0,0
new-hampshire,2019,2992802,408499,1020038,0,1020038,12836,548,140500,185644,458,44805,201332,433915,462125,17665,339,71789,12562,84485,8169,21371,240924,4821,954387,122622,831765,147753,0,147753,0,0
new-jersey,2020,37927482,4974,16271749,11068018,5203731,151731,278199,686682,487883,0,910079,583839,2105318,1691586,3492,54425,374586,14827,628977,53070,21565,538792,1852,18977957,15412766,3565191,981216,436756,544460,0,0
new-jersey,2019,38449650,5014,15838942,10846611,4992331,145203,266232,522172,500197,0,978414,625382,1954731,1701016,4386,51343,372335,14027,668735,58231,20961,509049,1949,19812595,15903287,3909308,1092083,491137,600946,0,0
new-mexico,2020,7150005,89284,3935006,3103765,831241,20061,66795,223338,230303,842,33791,95080,161031,332374,0,6429,36705,24645,209574,5004,1710,48307,0,1323482,1227926,95556,1469859,0,0,1415606,54253
new-mexico,2019,7427622,86754,3684304,2863208,821096,21000,65264,209920,239515,842,32792,91489,160274,332445,0,6492,34630,32824,205151,5154,1619,46575,0,1792638,1590271,202367,1531481,0,0,1491507,39974
new-york,2020,92720854,0,28388278,15965689,12422589,259018,2022,1904118,1675483,15939,906990,1035160,6623859,1823176,55626,0,2286,44831,1418248,141385,37088,122849,863,58483690,53659401,4824289,4025710,1070166,1278846,0,1676698
new-york,2019,85368973,0,27230515,15372529,11857986,263453,2342,1866069,1721723,21430,885520,1070667,6026782,1807412,49089,0,1303,41418,1416050,145007,28988,124530,1027,52383984,48087389,4296595,3947062,1068327,1277647,0,1601088
north-carolina,2020,28303127,0,12839610,8473886,4365724,452442,48,675023,1943572,0,277,288657,1005705,2197546,24477,177,752141,35858,873708,109255,18943,335928,47059,13168249,12505906,662343,97722,1279,94719,1724,0
north-carolina,2019,29324429,0,12802893,8376578,4426315,437538,29,577572,2099105,0,272,292846,1018953,2336658,27786,177,842349,33039,893598,121878,19773,352886,45172,14095305,13258890,836415,89573,482,87267,1824,0
north-dakota,2020,4336232,5427,1564960,1067967,496993,9116,13441,63095,193763,1190,50469,26639,139280,220690,408,1191,0,19505,116847,4766,5,77968,0,458354,376864,81490,2086801,0,0,2086801,0
north-dakota,2019,4969744,4636,1563632,1053147,510485,8950,6245,68568,199322,1218,51670,27382,147130,228684,412,1566,0,17002,120192,5283,3,84226,0,561797,415274,146523,2610995,0,0,2610995,0
ohio,2020,30581546,0,20052085,12864718,7187367,108185,272803,640911,2527816,3819,759146,914339,1960348,2174077,30047,39832,294382,41103,767288,71277,23015,860701,46432,8288666,8284983,3683,66718,76,0,66642,0
ohio,2019,30686938,0,19125250,12692369,6432881,106994,274021,607111,1979815,4999,793723,919669,1746549,2172390,44287,40683,260233,36050,791912,78896,33436,839590,47303,9320571,9313265,7306,68727,164,0,68563,0
oklahoma,2020,10256615,0,4611976,2960531,1651445,135956,24369,346277,580104,1499,47048,458201,57991,1043794,80,150088,53085,24670,784305,29677,5,882,1002,3666521,3364947,301574,934324,0,21457,829238,83629
oklahoma,2019,10816166,0,4643652,3071467,1572185,138884,28555,336441,573825,1029,48069,420769,24613,1045007,257,180178,58067,20232,753665,30826,5,890,887,3868327,3565449,302878,1259180,0,21520,1153138,84522
oregon,2020,12774909,21310,1928326,0,1928326,18414,0,76462,547483,1979,16995,245318,1021675,1165847,5286,2429,48073,58565,577990,41345,16361,408917,6881,9528152,8635668,892484,131274,113796,1957,15521,0
oregon,2019,14006376,21310,1870274,0,1870274,19205,0,80618,585869,1795,14289,250156,918342,1133813,5110,2845,46382,54404,568049,40559,14673,394910,6881,10758070,9847141,910929,222909,204734,1957,16218,0
